Country,Region,Income Level,Healthcare System Type,Healthcare Expenditure (% GDP),Hospitals per Million People,"Doctors per 1,000 People",Average Life Expectancy,"Infant Mortality Rate (per 1,000)",Universal Healthcare Coverage (%),Vaccination Rate (%),Wait Time for Treatment (Days),Patient Satisfaction Score (1-10),"Medical Staff per 1,000 People","Hospital Beds per 1,000 People",Emergency Response Time (Minutes),Healthcare Quality Index (0-100),Spending Efficiency Score (0-100)
Slovenia,Eastern Europe,High,Single-payer,13.11854284,350,4.321080525,81.19892992,5.99005419,90.3846684,97.41362072,42,6.748327229,12.84973749,6.44844394,10,79.81157101,3.80493048
Papua New Guinea,Oceania,Lower-Middle,Single-payer,5.414142418,200,1.311732045,69.69011838,26.04911226,64.17119941,60.56834318,51,5.777106358,6.606808669,3.701741398,33,49.92910907,15.07643539
Chile,South America,High,Mixed,12.59896863,530,3.41670634,84.14795749,3.368015881,92.68902703,78.10479565,14,6.944365264,13.10988049,3.400341295,19,75.05308767,5.624532549
Myanmar,East Asia,Low,Mixed,3.197529286,103,1.018337668,62.68388878,44.21915106,32.07416242,36.61064653,72,2.58594037,6.260520898,3.181895173,65,22.72403322,25.31296205
Madagascar,Africa,Low,Mixed,3.444690934,57,0.224271912,68.48658563,47.9329103,-0.612172681,43.91178754,44,4.723324547,5.593306939,1.326760748,58,27.67234361,27.79854912
Russia,Eastern Europe,Upper-Middle,Mixed,6.652288133,257,1.678750304,73.21944489,6.111911918,91.46672865,74.66903691,18,7.434824313,10.00612422,4.716163291,17,68.93957729,10.57732263
Myanmar,East Asia,Low,Mixed,3.209416888,99,0.921614952,62.69161868,39.15727587,29.62673333,37.218413,71,2.554583528,6.96031662,3.581316136,66,24.53095513,25.64926846
Bhutan,South Asia,Lower-Middle,Mixed,3.360404464,96,2.040020298,69.27285303,20.15593773,59.88423961,67.4221096,93,4.057177577,5.299492114,1.706539313,38,44.27353106,25.28957637
USA,North America,High,Multi-payer,17.34735641,323,7.046990755,79.04416991,4.45672869,91.81313959,88.30138993,25,8.39156662,10.47991107,6.247719315,12,83.81686235,1.397462089
Tanzania,Africa,Lower-Middle,Single-payer,2.50601903,78,1.166342016,67.68647142,22.55041082,42.63388189,65.75847286,124,4.477110389,9.699805189,1.827762091,25,42.04151338,40.04475487
India,South Asia,Lower-Middle,Mixed,5.134692275,111,2.298511028,73.0960076,22.01717039,76.55339859,55.56821091,86,3.718748762,9.429152495,1.630273381,29,48.71111528,20.02271581
Japan,East Asia,High,Mixed,8.248844645,548,6.750943223,84.59896984,6.631039757,82.81953392,101.7008594,14,6.679193126,13.22025827,7.976422636,17,84.82083149,10.30817762
Yemen,Middle East,Lower-Middle,Mixed,5.013396872,198,1.025194894,68.45082623,16.39301842,65.59631106,68.00155679,124,6.630962485,8.360816957,1.405515323,32,53.40475695,14.66108025
Oman,Middle East,High,Mixed,11.7743026,384,5.179421653,83.81635052,6.43685212,87.83318446,85.2700609,85,8.280895006,10.68302178,4.887452493,18,80.75317475,4.540138058
Denmark,Western Europe,High,Single-payer,16.31174437,513,6.788626953,83.29281926,1.820577729,97.49576021,82.44220935,74,7.486867824,9.120548417,7.107174541,14,82.2664689,3.077150498
Ghana,Africa,Lower-Middle,Mixed,2.0168261,102,1.68013197,68.28555344,19.44216254,47.20889959,55.92843017,110,5.773012681,5.206792624,3.063152518,41,45.57484313,44.55477865
Nigeria,Africa,Lower-Middle,Mixed,5.656581417,131,2.444234908,63.90689984,20.70364921,40.87245348,66.2997607,43,4.910796622,7.413973426,1.616650016,28,42.52536602,13.50094289
Romania,Eastern Europe,Upper-Middle,Single-payer,9.375757071,251,3.89923811,79.98215838,8.544653077,83.801101,68.59396091,58,6.836109357,10.3057532,3.05717891,16,67.19013454,8.040517251
Italy,Western Europe,High,Single-payer,8.731992219,355,5.942548575,77.73047447,2.218447876,109.8768154,76.06119617,107,9.372583003,12.22648152,8.418101208,10,78.58894147,8.585962922
India,South Asia,Lower-Middle,Mixed,4.918245161,129,1.984981408,72.60590864,21.93006698,75.34522348,57.07564398,74,3.258461735,8.2814342,1.822609754,27,47.62633469,19.44987766
Estonia,Eastern Europe,High,Single-payer,13.48252641,412,4.726216931,79.63338841,3.927302645,90.5431125,91.33117168,33,8.372409126,10.1588227,7.849689765,15,83.25852205,4.420746487
Israel,Middle East,High,Mixed,11.75675044,461,3.611443728,83.89135926,5.225802474,92.44228485,77.36448388,61,7.580324385,12.45885844,7.156958216,21,80.67102259,5.63093167
Ireland,Western Europe,High,Single-payer,12.08600826,352,2.778939704,78.22202009,1.72977428,88.87093077,91.21630157,96,9.28007794,9.990146196,5.579323833,13,79.62240808,5.298998828
Palestine,Middle East,Lower-Middle,Mixed,6.034408197,208,2.054605609,72.66050415,20.67791417,47.66166964,62.42245651,32,6.214822455,6.484976445,1.873414094,38,54.90107346,14.53568843
Moldova,Eastern Europe,Lower-Middle,Single-payer,6.890007277,123,2.065694987,72.00860324,21.83485587,77.32794949,64.64541562,69,4.707663044,7.90815639,2.868000689,32,51.48281092,13.63262394
Nepal,South Asia,Low,Mixed,3.471369917,76,1.583521177,58.84907541,58.00732239,49.87617636,54.42094792,96,4.235569363,6.088306867,2.163961515,49,23.07857613,21.95113483
Bangladesh,South Asia,Low,Mixed,3.531652,67,0.646189624,52.99351342,53.81968815,44.78918045,55.42973216,173,4.383256088,5.781817388,1.85022715,72,14.28983986,19.3199493
Nigeria,Africa,Lower-Middle,Mixed,5.721269402,145,2.580130698,64.20113348,21.86132603,41.43289738,68.77607164,48,4.689665948,8.553085195,1.874006546,29,45.76276147,14.32178159
Mongolia,East Asia,Lower-Middle,Single-payer,2.774323214,226,1.291007976,73.98201225,19.42699938,44.18895715,70.14655722,84,3.541600865,5.536604535,3.592994412,38,50.12794503,35.44738397
Bangladesh,South Asia,Low,Mixed,3.492254433,67,0.7154541,52.16794613,57.60258527,43.19065324,55.12826234,182,4.411688645,6.444814157,1.706904754,78,14.25526436,19.28907869
UAE,Middle East,High,Single-payer,7.691423262,485,4.643721885,81.61317055,3.362638912,85.21147105,85.76842896,79,7.731564529,15.41283726,3.355273634,18,77.1631046,9.996088174
Afghanistan,South Asia,Low,Single-payer,3.974090765,39,0.425771732,66.67955138,29.25170786,38.17958453,30.51587886,169,3.950302643,5.178271764,1.639531976,52,29.68380319,20.75879455
Chad,Africa,Low,Multi-payer,4.602052046,23,0.194652812,69.85727672,60.41795035,53.58772747,71.83827262,89,2.67207227,5.031589464,1.610219686,50,28.37964476,21.64373126
South Africa,Africa,Upper-Middle,Single-payer,6.589932091,288,2.731939777,76.61373475,13.40838546,88.24317497,78.5251963,54,5.154736599,8.385193145,2.587545855,15,60.89440696,14.59137912
Iran,Middle East,Upper-Middle,Single-payer,7.389226625,243,3.322791323,75.89840058,8.82323615,88.64892376,77.78194644,83,5.696164817,8.694025996,3.343127164,18,65.37580289,9.420912679
Burundi,Africa,Low,Multi-payer,1.410513169,48,0.214405356,67.40821698,46.33265565,26.66965204,52.03790977,90,3.240641913,5.376436567,1.491677596,78,27.44452348,74.65595312
Angola,Africa,Lower-Middle,Mixed,2.988955618,224,0.997626249,62.62797224,30.06155281,25.79247219,51.95191792,65,5.775058844,8.925233902,3.217127744,41,36.46287324,27.49418519
South Africa,Africa,Upper-Middle,Single-payer,6.651428635,268,2.488698599,77.53793315,13.77932269,89.37982931,74.30311174,55,5.720778443,8.029990388,2.540158742,16,60.77512968,15.00157881
Ghana,Africa,Lower-Middle,Mixed,2.141986488,98,1.724987304,68.15893229,21.80850969,47.44912107,59.18936704,111,5.593064079,5.184562615,2.805094402,35,48.45927678,46.87525675
Sri Lanka,South Asia,Lower-Middle,Multi-payer,1.99545233,175,0.815626279,67.12431207,12.16278586,45.85409209,64.70133611,33,4.024841435,8.587449697,3.739445844,33,48.94357092,45.28071263
Malaysia,East Asia,Upper-Middle,Mixed,9.560854568,235,3.855912069,81.68400548,13.316564,72.60002144,71.73311903,65,5.914225457,8.883405283,6.116278211,35,68.76192587,8.79729157
Nigeria,Africa,Lower-Middle,Mixed,5.935779391,133,2.389646062,64.09232561,21.58379663,41.77980502,68.24500475,48,4.801367483,7.372394244,1.815152742,32,45.21376252,13.32949905
Romania,Eastern Europe,Upper-Middle,Single-payer,10.08148185,278,3.755672963,78.77266598,7.919026275,83.94396883,65.21962654,58,6.445252169,9.514578377,3.508588756,16,71.88857997,8.059870298
Ecuador,South America,Upper-Middle,Mixed,8.772708449,281,2.442569216,74.83342305,9.644766594,93.50779834,73.59158075,76,5.604230162,8.35901193,3.540682781,35,61.98410505,9.488985684
Bahrain,Middle East,High,Mixed,16.0560666,359,3.591610969,82.28798733,7.25505178,96.24138816,88.21737204,63,9.893601439,9.962117776,7.388767861,10,78.39830573,1.885324261
Portugal,Western Europe,Upper-Middle,Multi-payer,8.115960908,189,2.139231157,73.15137105,7.281775749,73.65268462,64.85561726,57,6.221694605,9.497894028,2.864279834,24,65.11120286,9.192266541
Ireland,Western Europe,High,Single-payer,11.15574291,367,2.853361257,79.5553112,1.622083983,85.79862703,94.73102519,85,9.265304783,10.95116802,5.315663561,12,80.40370854,5.680628056
Belarus,Eastern Europe,Lower-Middle,Single-payer,3.651618324,111,1.761819172,71.86559625,21.00741876,43.45396216,72.45131673,61,4.386073328,7.984675503,2.225186735,34,48.92352159,27.95650804
Tanzania,Africa,Lower-Middle,Single-payer,2.480005588,82,1.244760337,66.91583097,23.18858928,43.23420642,64.82021488,126,4.88110409,8.592035021,1.681052959,24,41.06165449,41.43390494
Madagascar,Africa,Low,Mixed,3.332772748,50,0.258065092,69.28919888,52.8111346,-0.593089564,43.09674901,50,3.899534073,5.533651568,1.588433943,54,26.65410255,27.73757728
Ghana,Africa,Lower-Middle,Mixed,2.144594149,97,1.881113434,68.05162908,22.08569249,50.1955475,60.87763138,97,5.705250178,5.00768772,2.916746682,40,45.27144958,46.81917356
Germany,Western Europe,High,Single-payer,11.97109407,353,4.962334937,84.70627332,5.768500487,109.875895,76.00456088,47,9.774807465,12.05175782,8.146237214,21,85.05328548,6.260973935
Qatar,Middle East,High,Mixed,11.97268095,289,5.494019697,84.24429642,5.170296259,82.57408203,83.75910982,45,7.430711728,13.2617523,6.043479047,18,77.25167752,6.089903525
Chile,South America,High,Mixed,12.31421066,473,3.367362264,83.58079182,3.309776751,98.81327131,78.33587168,14,7.31323658,13.65152024,3.272764515,17,76.78092622,5.543368582
Morocco,Africa,Upper-Middle,Mixed,8.280605436,185,1.919776739,76.75732894,13.44480429,86.2326539,75.85790554,52,5.138091249,8.599328383,2.791406786,31,61.6633721,9.801927068
Rwanda,Africa,Low,Single-payer,3.16352456,107,1.017989794,67.06918415,59.40596952,39.44677019,62.59025771,113,4.902029973,2.686523268,1.710607953,38,29.79957125,31.12479646
Cameroon,Africa,Lower-Middle,Mixed,4.32498664,139,1.780691437,70.11114823,17.84293965,69.88043036,54.05543259,94,4.931287144,6.062349485,3.02209901,29,46.79612573,18.25683843
Madagascar,Africa,Low,Mixed,3.303836382,51,0.263950804,69.1034025,45.83819057,-0.612570635,40.53422903,45,4.009108219,6.00203472,1.48641933,54,25.97757162,26.42477302
Belgium,Western Europe,High,Single-payer,14.06448695,277,7.344057379,81.62747656,3.26594462,112.2377413,90.18619304,58,10.32684744,11.30612774,7.589807635,10,87.15170435,3.589201333
Italy,Western Europe,High,Single-payer,8.808068076,351,5.82226578,78.70570291,2.042668277,107.0114376,72.39063638,97,9.438015783,13.24642939,8.016315602,11,79.53442489,8.616163111
Slovenia,Eastern Europe,High,Single-payer,12.46318943,347,4.775432974,80.74133729,6.399285484,90.66752004,92.40254417,41,7.384277013,12.06548905,7.068810721,9,75.40360205,3.70899483
Bolivia,South America,Lower-Middle,Single-payer,4.496756554,247,1.576714266,69.29631817,12.65081004,51.46380675,79.76422299,49,5.532950178,7.961421679,2.228774427,37,53.63479784,20.63028114
Albania,Eastern Europe,Lower-Middle,Single-payer,3.408526831,123,1.734409207,68.42287992,25.93418648,74.69298019,51.16803573,41,5.719447203,5.508092135,2.77009658,42,45.95104803,26.86104874
Palestine,Middle East,Lower-Middle,Mixed,6.002691959,231,1.829357146,73.05369597,19.44971035,51.97642916,59.66148889,30,6.457940595,5.922743135,1.878154295,36,53.04645762,14.14867081
Belgium,Western Europe,High,Single-payer,13.19608656,288,7.036745368,81.76160341,3.022380213,108.4254825,87.02590748,52,10.01032024,10.92806167,8.390887106,10,92.34748064,3.409302781
Nepal,South Asia,Low,Mixed,3.390978801,79,1.472036916,59.74994675,54.71297863,49.98568183,52.04153219,101,3.925100617,6.054122569,2.43900185,51,22.92927989,22.11546161
Uganda,Africa,Low,Multi-payer,2.681135206,64,0.680555121,52.94929987,60.12534379,47.37056349,40.73799451,138,3.20645533,5.773912402,2.253830282,43,12.31788013,27.60639832
Madagascar,Africa,Low,Mixed,3.283589455,58,0.237528246,68.56782351,50.04887337,-0.581163817,41.04659538,41,4.666847357,5.828234326,1.54682258,55,25.68841951,25.84888
Saudi Arabia,Middle East,High,Mixed,10.65203026,558,5.138971134,79.96059257,5.100334731,87.64272099,97.6089061,64,7.081719242,9.741483853,4.498443369,9,75.59686637,5.485282556
Australia,Oceania,High,Single-payer,13.04488785,519,4.753509266,80.38248419,2.085818852,91.953231,85.38208815,78,8.364360539,13.10664243,5.596659251,16,82.597263,4.736715039
Spain,Western Europe,High,Multi-payer,11.02808789,532,3.982355003,80.30580671,5.958162312,104.0129745,82.05601699,61,7.718394723,10.98427079,4.072113274,21,76.32901505,7.081409503
Israel,Middle East,High,Mixed,12.32327643,465,3.677207371,83.94261261,5.132202138,96.55965156,78.91382419,64,7.954906947,12.82888134,7.272333679,21,76.04299656,5.791626985
Niger,Africa,Low,Mixed,3.704306288,139,0.893948311,52.40438418,40.40553849,-4.286152212,59.91469931,106,2.798248251,1.963758895,1.372566522,67,16.32067921,19.44521744
Angola,Africa,Lower-Middle,Mixed,3.250270078,223,0.896090783,62.9340876,31.60231547,24.34349043,51.6511572,61,5.530430327,8.416243755,3.697856758,42,38.77814936,26.17535243
Niger,Africa,Low,Mixed,3.506527962,119,0.962148082,52.78244358,39.83143218,-4.527986206,62.76594192,93,3.049607604,2.089402033,1.351097155,65,16.85501219,19.40434828
Paraguay,South America,Lower-Middle,Single-payer,4.152572438,117,1.49697074,70.79854283,16.14576028,40.61041693,65.336228,22,5.07382887,5.616487489,2.163228548,24,51.39717279,22.37979265
Czech Republic,Eastern Europe,High,Single-payer,18.56311353,318,4.640621347,81.02104529,3.108720658,89.84419364,73.68798817,74,8.755673625,9.427991921,4.373688047,21,74.75228522,2.029684992
Nigeria,Africa,Lower-Middle,Mixed,4.93949008,137,2.304676658,64.91466259,22.16229373,39.2999432,68.36229468,44,5.498615922,7.332377896,1.788129409,28,43.17692066,14.32569515
Bangladesh,South Asia,Low,Mixed,3.687554947,64,0.660957764,52.93060248,60.57587933,44.79392249,56.97087786,176,5.251402635,5.611763876,1.72658971,68,14.63447513,18.41209462
Ethiopia,Africa,Low,Multi-payer,1.168166619,28,0.943501467,70.27881839,48.69471608,24.99725212,41.23741259,105,4.095404075,3.399009787,2.480274759,84,27.46939705,98.75004731
Philippines,East Asia,Lower-Middle,Multi-payer,2.904431123,252,1.043537651,75.61705671,23.58297315,42.3298549,90.25977057,123,4.845192838,7.877842775,6.120847686,39,54.18350413,34.10849876
Chile,South America,High,Mixed,13.57298508,493,3.364598777,84.74146928,3.146392688,93.39072887,77.17084625,15,7.428833924,13.17736178,3.158212042,20,80.4302813,5.525456422
Morocco,Africa,Upper-Middle,Mixed,7.658492454,182,1.902954519,76.58427585,14.1440942,91.15347109,71.29779426,51,5.360679258,9.156461168,3.000944841,33,63.04881052,8.933893054
Peru,South America,Upper-Middle,Single-payer,7.531628854,308,3.722286143,74.33829375,8.984876533,92.44433085,68.30498615,46,6.925949497,9.480090952,4.480177169,23,63.40657553,9.560414405
Russia,Eastern Europe,Upper-Middle,Mixed,6.665225048,261,1.951779446,73.47698527,6.524020287,86.02297586,76.36029906,19,8.468502609,9.994454091,4.561569791,18,71.34624614,10.49182603
Greece,Western Europe,Upper-Middle,Single-payer,9.239190016,234,2.952092813,77.44982535,9.311373496,110.3014311,64.4749045,107,9.154436715,8.016032193,2.629958695,24,71.86172257,8.812508973
Chile,South America,High,Mixed,13.52330694,507,3.134634131,84.93124939,3.023325474,93.88475716,80.52220348,13,7.618671137,11.78981144,3.060418654,17,76.10386359,5.460223793
Chad,Africa,Low,Multi-payer,3.971587345,25,0.167990386,69.83202636,55.17260189,52.98495416,69.44629084,88,2.640303628,4.255512818,1.595490031,55,28.17029705,21.82927362
Laos,East Asia,Lower-Middle,Single-payer,6.847720708,225,2.249255,75.69676157,27.87415867,50.33629588,69.04047642,19,5.620253614,7.434665324,5.270952345,28,53.41433107,13.15135804
Vietnam,East Asia,Lower-Middle,Single-payer,3.354839802,174,1.853890738,74.18207391,22.84530638,51.6569734,74.16653363,64,3.99257347,8.057357291,5.56532564,40,48.98170521,31.68493264
Mali,Africa,Low,Multi-payer,5.06807008,67,0.174197818,57.61638801,49.7240142,10.28700069,62.81602437,149,2.453174221,2.686184626,0.964352372,88,12.49380651,13.6355732
Vanuatu,Oceania,Lower-Middle,Single-payer,6.976510685,103,1.789399423,73.01728946,12.73707353,61.40912036,59.03623094,59,4.645860577,5.016710607,3.789689869,34,54.17752065,12.74896938
Finland,Western Europe,High,Single-payer,8.302925529,400,3.897822244,79.39052902,4.631496156,110.804785,87.08657887,21,9.800070239,13.93582174,5.428683564,10,87.80410736,9.503054255
Mali,Africa,Low,Multi-payer,4.476781781,76,0.183011762,58.05963878,52.30860117,10.44759749,64.12838755,135,2.434409982,2.892171746,0.928425857,87,13.49441259,13.5420919
Jordan,Middle East,Upper-Middle,Single-payer,5.767844471,184,3.544596563,74.22360883,7.824908929,84.0595839,87.43985378,55,5.641496525,10.42427039,3.634393492,27,63.32307709,15.28343438
Bahrain,Middle East,High,Mixed,16.78492587,321,3.713430651,81.94350169,8.063614544,91.4228877,85.74576409,57,9.748780554,10.39919861,7.990095625,9,80.70330498,1.758213173
Albania,Eastern Europe,Lower-Middle,Single-payer,3.410478837,120,1.800950837,69.15230523,27.60583381,78.44088167,49.9491704,43,6.276978342,5.350844704,3.22020198,40,47.91539086,27.68051062
Greece,Western Europe,Upper-Middle,Single-payer,8.290788466,265,2.791196219,78.48047815,8.416646469,104.6865837,63.14709162,114,8.992932704,9.144351071,2.685755895,22,72.75113441,8.088544606
Kuwait,Middle East,High,Single-payer,8.242094351,356,3.348546249,84.5212917,1.665395539,83.32246833,93.00831614,29,7.329025551,11.07517392,7.118874141,10,80.03755021,10.12173708
Australia,Oceania,High,Single-payer,12.51879957,450,4.468960889,79.68408676,2.144095699,93.99216566,88.34600582,84,8.913879681,12.14354265,5.324049668,13,79.5803688,4.56075051
Singapore,East Asia,High,Single-payer,4.039520038,502,3.029981477,83.81750595,7.798164526,98.25492322,110.9496691,28,8.739860743,14.38581722,6.595506441,13,81.96131248,25.94934363
South Korea,East Asia,High,Mixed,11.56936204,519,7.325281264,83.12802418,4.616784926,84.2981953,108.1575485,34,7.360341763,12.88052765,8.679394495,17,88.3894956,5.266669691
Mozambique,Africa,Low,Mixed,1.369085214,131,0.89344872,64.33519969,24.31375479,25.28625669,40.85313964,104,4.424619139,4.943662999,1.08969684,92,30.07640624,71.96665061
Oman,Middle East,High,Mixed,12.29848038,395,5.153432522,83.74610032,6.529275236,83.65667359,85.4796066,83,8.280318882,9.914507787,4.524401672,15,75.02508569,4.437381822
Iceland,Western Europe,High,Single-payer,18.96707886,482,3.24343561,82.08121122,7.909935284,98.06974403,83.5932717,51,8.493575001,13.22573956,7.749892377,10,83.47337758,1.837528717
Bhutan,South Asia,Lower-Middle,Mixed,3.493705705,106,2.223644859,69.02172152,18.60536935,57.21282362,71.70952277,93,4.25653942,5.090495392,1.727969743,44,44.24346992,26.49971385
China,East Asia,Upper-Middle,Single-payer,5.913783395,282,2.9196482,78.2600812,14.34555044,72.27434424,86.86511249,76,6.080597761,12.83887415,6.336477866,27,66.07153396,16.86241054
Thailand,East Asia,Upper-Middle,Single-payer,8.479755117,223,2.97010954,75.45740874,8.879583402,73.38620961,69.56015659,37,5.50561984,10.79996884,3.898631099,33,63.25045485,8.135475237
Burkina Faso,Africa,Low,Single-payer,4.538596068,48,1.285133826,53.00355683,34.053099,41.85672561,36.38438134,121,3.544277019,5.551844357,0.956623912,32,20.69881714,12.33306952
Ivory Coast,Africa,Lower-Middle,Mixed,4.506145929,158,2.107492051,72.8006972,24.93711097,62.40456883,75.01584841,39,5.870196528,8.111522118,3.091680796,33,56.80237738,18.99364633
Slovakia,Eastern Europe,Upper-Middle,Single-payer,8.076594851,256,2.820395319,75.79637052,13.17982721,72.38466615,76.77064548,25,6.097298624,8.959072898,4.466544114,23,62.98010104,11.34348003
Syria,Middle East,Lower-Middle,Mixed,4.978846853,84,1.733116863,72.65997758,12.37699473,60.71768245,62.98508275,104,5.603855419,7.388614279,3.055567645,40,55.73219488,17.72683537
Kenya,Africa,Lower-Middle,Mixed,3.064024975,204,0.86667007,66.04502718,20.13634157,59.40632525,56.62582097,42,5.682547844,8.160944269,3.017831689,34,45.80539843,33.39569738
Syria,Middle East,Lower-Middle,Mixed,5.664032743,85,1.75043658,73.63529858,12.86659349,64.37881485,61.79653005,99,5.297360103,7.441266485,3.006953195,41,55.62126815,16.77788938
Italy,Western Europe,High,Single-payer,9.406120488,387,5.380689432,78.75814673,2.360247621,109.6284387,77.18658241,110,9.34788622,12.19211756,8.221615054,11,78.402135,9.083530125
Somalia,Africa,Low,Mixed,2.428220154,63,0.524041929,60.97263391,51.82183222,15.28937972,54.29797259,41,3.497157805,6.698456217,1.293923611,69,20.73613495,33.10203035
Uganda,Africa,Low,Multi-payer,2.947230155,62,0.70779434,52.94610764,61.86844337,48.39315241,39.76023714,152,3.496607446,5.811021246,2.208785149,44,12.48369449,25.97871505
Chile,South America,High,Mixed,12.63134098,542,3.441497378,83.99226568,3.319463749,94.38774395,83.16517618,13,7.284969318,13.08689207,2.970675629,17,75.94717371,5.157389877
Solomon Islands,Oceania,Lower-Middle,Single-payer,5.278653538,214,0.846204704,72.95161816,21.88135949,64.89834573,75.96838283,37,5.004877241,6.717194027,3.674638297,30,52.96177728,15.76664239
Mozambique,Africa,Low,Mixed,1.374517801,115,0.788185647,64.10951528,24.95081216,25.02867025,40.40598706,91,4.21836813,4.463377559,1.001095924,88,30.41742124,72.98716328
Philippines,East Asia,Lower-Middle,Multi-payer,2.907265918,265,0.959398906,75.26663223,22.91903849,42.4973444,94.9001682,116,4.849576381,8.546181833,6.842241784,39,54.73906704,35.36468246
Finland,Western Europe,High,Single-payer,7.898021396,391,3.694264779,79.94219349,5.02953365,105.0551072,85.54106764,21,11.09383916,12.71199989,5.399238146,10,81.64283815,9.259167206
Yemen,Middle East,Lower-Middle,Mixed,5.70695294,200,0.96288206,69.13800675,13.75317338,67.15597513,69.46507174,111,6.721488719,7.869865208,1.445744615,32,48.98810137,15.33124142
Greece,Western Europe,Upper-Middle,Single-payer,8.555082903,252,2.603588683,77.48588977,9.680845607,111.4278554,62.90218794,109,8.375721392,9.095008685,2.693059045,23,69.29371053,8.239693353
Denmark,Western Europe,High,Single-payer,16.36391188,549,7.010600594,83.31505428,1.937426316,98.0105301,87.35199108,78,7.528853733,10.66982169,8.245645785,17,78.2605254,3.172349689
Zimbabwe,Africa,Low,Mixed,4.18985851,32,0.380619817,61.15987491,44.54240637,31.83924808,32.2775957,143,3.165261117,3.130603044,1.590072423,35,19.98591517,18.27439222
Colombia,South America,Upper-Middle,Single-payer,10.15294068,254,3.478571894,77.66115507,12.33398764,84.48519114,76.84681535,29,4.821202709,10.04023995,2.626369373,20,65.98847028,7.246849882
Denmark,Western Europe,High,Single-payer,15.10574103,524,6.907365481,82.29994027,1.639069447,99.18559836,82.68940214,70,6.804173327,9.533048884,7.504433688,15,82.10593318,3.172390737
Norway,Western Europe,High,Single-payer,14.84816881,278,5.144234595,80.56756606,7.523740505,94.87284565,92.07466698,88,11.34191237,11.50571983,5.393316402,10,84.01381946,2.306956132
Lebanon,Middle East,Upper-Middle,Single-payer,8.578013978,294,1.78464093,78.05643554,15.15669866,76.12189962,67.08485722,57,7.701299265,6.867112315,3.946228022,23,62.99276556,9.054722837
China,East Asia,Upper-Middle,Single-payer,6.131418401,257,2.906854868,78.30252365,13.81091585,75.88642839,89.07927828,76,6.35292307,11.08457171,6.727573325,25,68.24955188,17.24400477
Palestine,Middle East,Lower-Middle,Mixed,6.264863275,207,2.001092994,72.53220258,22.4663594,51.9632249,61.57236462,32,6.628257515,5.831833101,1.948181974,42,50.07120721,13.38527177
Germany,Western Europe,High,Single-payer,11.17231509,362,5.362392218,83.63356596,6.46279468,111.440021,77.19933515,50,10.71331899,11.15408208,7.446180114,23,89.08424766,5.90327271
Taiwan,East Asia,High,Single-payer,10.29454425,568,5.317781529,83.76721454,4.707026582,96.44763387,86.38142163,24,6.41810905,9.801891586,7.280527858,12,82.77641823,8.14141276
Norway,Western Europe,High,Single-payer,15.12390572,286,5.163495147,81.05355945,6.613418653,94.77272902,98.96724923,85,11.22192378,11.86651926,5.120533209,9,85.0410054,2.357038079
Vanuatu,Oceania,Lower-Middle,Single-payer,5.892645697,111,1.639617281,73.08897212,12.29091941,60.76789956,55.84081096,58,4.782098882,5.814659757,3.625611023,33,55.55043385,13.43635998
Paraguay,South America,Lower-Middle,Single-payer,3.866245716,116,1.519312985,70.25313747,16.00721191,42.35526406,68.1114014,20,4.905491455,5.427070152,2.447953019,24,49.08755356,23.3804944
Tanzania,Africa,Lower-Middle,Single-payer,2.40817912,88,1.193186993,66.78280523,22.1907545,41.08610691,67.99401237,124,4.2444563,9.094926269,1.857104033,23,43.83998572,42.53938683
Croatia,Eastern Europe,Upper-Middle,Single-payer,7.546545766,147,2.897312597,74.99717389,9.791603761,80.03794733,65.93735386,46,5.747479026,12.72196469,1.924185567,28,59.90049855,8.970003371
Taiwan,East Asia,High,Single-payer,10.61781563,553,6.331626641,84.46228111,4.861180944,91.64180038,82.49927457,27,6.707949762,10.82166371,7.007322379,14,77.51646492,8.250555319
Ethiopia,Africa,Low,Multi-payer,1.129875804,30,0.992910058,69.81198459,46.28652445,26.06564047,43.15173574,106,3.969765767,3.714672749,2.395377663,89,29.49957332,92.80002003
Congo,Africa,Low,Single-payer,1.003251982,30,0.780239406,68.22490478,56.63535255,60.63063667,44.78196467,91,3.127054765,4.839629777,2.258430161,76,27.35703989,104.7508992
Oman,Middle East,High,Mixed,13.2044869,394,4.979649915,82.84355454,6.236207215,86.15575406,85.8402992,88,7.736279834,9.340017651,4.889383859,18,79.35737761,4.541126716
India,South Asia,Lower-Middle,Mixed,4.510057437,114,2.359857759,72.96945791,23.12138635,77.11241011,56.95827665,79,3.876076514,9.141147531,1.935950167,31,48.96360905,19.87011696
Cameroon,Africa,Lower-Middle,Mixed,4.974723963,164,1.639055242,69.78460035,15.82456732,68.36167082,50.97345489,97,4.872170415,6.037140059,3.118205298,29,49.68876428,19.32199017
Sudan,Africa,Low,Mixed,4.367837566,132,1.27350913,56.80661924,52.30727056,-2.622509061,52.38549709,145,2.584743618,2.433114313,1.707149721,71,11.0407955,16.17591868
India,South Asia,Lower-Middle,Mixed,4.806801044,129,2.015986071,73.58249666,20.91868021,73.36392067,55.51918003,85,3.288580214,8.633285758,1.670855478,31,47.63234056,19.56993551
Israel,Middle East,High,Mixed,11.91011264,471,3.625792713,83.32049997,5.171778661,97.92423987,77.93659447,66,7.023134081,13.55820296,7.11108387,21,76.9962383,6.055146962
